,having_IP_Address,URL_Length,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,DNSRecord,Result
0,0,2,1,0,0,0,0,0,1,0,1,0,2,0,0,0,1,1,1,1,0,0
1,1,2,1,1,0,1,2,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0
2,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
3,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0
4,1,1,1,1,0,2,2,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1
5,0,1,1,0,0,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1
6,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0
7,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0
8,1,1,1,1,0,2,2,0,1,0,1,1,2,0,1,0,1,1,1,1,0,1
9,1,2,1,1,0,0,2,0,1,1,1,1,2,0,1,0,1,1,1,1,0,0
10,1,2,1,1,0,1,2,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1
11,1,2,1,1,0,2,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0
12,0,2,1,0,0,1,1,1,1,0,0,0,2,0,1,0,0,1,0,1,0,0
13,1,2,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0
14,1,2,1,1,1,0,2,0,1,0,1,1,2,2,1,0,1,1,1,1,0,1
15,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0
16,1,0,1,1,0,2,2,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
17,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0
